,ADDRESS,CAMIS,Latitude,Longitude
5799,6301 RIVERDALE AVENUE,41197457,40.9127371,-73.90259152
5899,199 EAST 3 STREET,41209159,40.72285041,-73.98324104
5931,303 MADISON AVENUE,41212839,40.7522894,-73.97957718
5957,805 3 AVENUE,41215734,40.75550316,-73.97090914
6030,444 9 STREET,41221671,40.66687604,-73.98169169
6038,248        EAST 52 STREET ,41222450,40.75656514,-73.96878417
6042,55         WEST 55 STREET ,41222773,40.7624585,-73.97664646
6052,92 7 AVENUE SOUTH,41223754,40.73281414,-74.00331878
6056,839 WESTCHESTER AVENUE,41224120,40.81971617,-73.90168851
6102,1193 1 AVENUE,41226964,40.76311213,-73.95950715
6112,2147 MILL AVENUE,41227684,40.61464477,-73.91290715
6160,214 FRONT STREET,41231878,40.70731609,-74.00267647
6185,488 AMSTERDAM AVENUE,41233598,40.78607853,-73.97627086
6208,27         AVENUE B ,41235437,40.72235234,-73.98311576
6217,961 EAST 174 STREET,41235890,40.83681011,-73.88590836
6238,719        SENECA AVENUE ,41236537,40.70268519,-73.90736042
6330,58 WEST 48 STREET,41242943,40.75812465,-73.98025436
6387,44         WEST 63 STREET ,41246951,40.77135712,-73.98222039
6397,1400 PELHAM PARKWAY SOUTH,41247535,40.85745161,-73.84764504
6408,858 9 AVENUE,41248529,40.76707991,-73.98623975
6411,620 8 AVENUE,41248591,40.75594294,-73.99064917
6424,1160 PUGSLEY AVENUE,41249587,40.8307439,-73.85700003
6453,1738       FLATBUSH AVENUE ,41251661,40.62803558,-73.9426934
6509,2          GOLD STREET ,41256599,40.70719523,-74.00738653
6510,1090       AMSTERDAM AVENUE ,41256607,40.80525709,-73.9622801
6516,1901 EMMONS AVENUE,41257282,40.58359714,-73.94958377
6525,606 NEPTUNE AVENUE,41258107,40.57991391,-73.97476604
6543,392 5 AVENUE,41259444,40.67081095,-73.98502411
6629,259        FLATBUSH AVENUE ,41265576,40.68005449,-73.97445748
6653,5721 8 AVENUE,41267394,40.63703679,-74.00786064
6659,817 ALLERTON AVENUE,41267759,40.86556703,-73.86331181
6665,5324 8 AVENUE,41267952,40.6393239,-74.00566553
6773,22         WEST 34 STREET ,41276535,40.74897919,-73.98624853
6804,2106 EAST 19 STREET,41278931,40.59905756,-73.95264318
6820,5535 BROADWAY,41280929,40.87813157,-73.90543167
